Date,ANDV,APA,APC,BHGE,CHK,COG,COP,CVX,CXO,DVN,EOG,EQT,FTI,HAL,HES,HP,KMI,MPC,MRO,NBL,NFX,NOV,OKE,OXY,PSX,PXD,RRC,SLB,VLO,WMB,XEC,XOM
2017-12-12,109.71102900000001,39.507366,48.540001000000004,30.778321999999996,3.81,27.541090000000004,51.681854,118.50036599999999,139.5,38.349545,100.279999,55.954842000000006,28.77,45.063969,45.143947999999995,58.175392,17.631414000000003,64.053291,15.18,26.744417,30.24,33.139998999999996,52.721264,69.202835,98.322464,158.990005,16.329864999999998,63.73024399999999,86.151611,29.08,113.47894299999999,81.922287
2017-12-13,108.22039,39.586937,48.259997999999996,30.161759999999997,3.72,27.700747999999997,51.403351,118.747902,138.28999299999998,38.059998,99.940002,56.774326,28.610001,44.585834999999996,43.841621,57.294993999999996,17.730745000000002,63.715599,15.2,26.585046999999996,29.07,32.59,52.543552000000005,69.143539,99.235519,157.059998,16.219998999999998,62.856411,86.656975,29.059998999999998,113.189178,82.27864100000001
2017-12-14,108.280006,39.208969,47.889998999999996,30.420319,3.64,27.201815000000003,52.02998,118.351845,136.800003,38.0,99.639999,55.974823,27.610001,44.237198,42.419998,56.167297,17.720812,64.222145,15.12,26.355949,28.629998999999998,32.43,52.069653,69.71669,98.798843,156.580002,15.99,61.932926,86.686714,29.68,112.95936599999999,82.060867
2017-12-15,110.853851,39.258705,47.52,30.092147999999998,3.51,26.583138,51.890728,118.549873,136.399994,37.68,98.550003,54.67564,27.43,44.43642,43.400002,57.15650600000001,17.810211,65.304764,15.01,25.559095000000003,27.809998999999998,33.060001,51.497025,69.785866,99.166046,155.830002,15.63,61.654892000000004,87.390274,29.73,112.239944,82.189552
2017-12-18,111.25135,39.706295000000004,48.529999,30.857878000000003,3.69,27.032179,52.059818,118.520164,138.509995,38.060001,99.910004,55.29525400000001,28.549999,45.303036,43.599998,57.364243,17.879744,65.563004,15.43,26.186619,28.74,33.34,51.684605,70.131729,99.225601,159.309998,15.91,63.15430799999999,88.123558,30.139999,113.568878,82.100464
2017-12-19,109.691147,40.034527000000004,49.389998999999996,31.653439000000002,3.61,26.762753999999997,52.397999,118.65878300000001,140.309998,38.700001,101.43,54.385822,28.690001000000002,45.691517,43.360001000000004,58.956867,17.800278,64.311531,16.02,27.122921,29.84,33.619999,51.200835999999995,70.062561,98.391937,160.199997,15.7,63.938774,87.271362,30.059998999999998,112.95936599999999,81.605522
2017-12-20,110.23771699999999,41.039120000000004,50.73,32.558392,3.78,26.912434,53.95959499999999,119.69844099999999,146.809998,39.84,103.540001,54.185951,29.860001,47.235485,43.990002000000004,60.509921999999996,17.641348,65.215378,16.32,27.750444,30.43,34.32,50.855282,71.030975,99.960014,167.199997,15.81,64.82253299999999,89.342407,30.049999,114.78789499999999,82.031174
2017-12-21,110.327148,43.078148,51.959998999999996,32.120831,3.84,27.660833,55.650493999999995,123.589699,149.830002,40.919998,106.349998,55.38519300000001,30.799999,47.982566999999996,46.34,62.94338199999999,17.949276,65.880836,17.049999,28.587142999999998,31.01,35.549999,51.556263,71.722717,99.324844,168.820007,16.5,67.38446,89.89733100000001,30.32,118.68476899999999,83.001251
2017-12-22,111.479919,42.68029,52.93,32.05122,3.85,27.531111,55.202904000000004,123.748131,151.770004,41.57,107.110001,54.735603000000005,31.15,47.823189,47.009997999999996,63.625935,17.929409,65.910629,16.9,28.676788000000002,31.459999,35.439999,52.533676,72.12786899999999,100.128731,171.119995,16.459999,66.9674,90.303604,30.309998999999998,119.85382800000001,83.12003299999999
2017-12-26,113.586685,43.12788,54.099998,31.882165999999998,4.0,28.040021999999997,55.928993000000006,124.738274,153.919998,42.580002,109.410004,55.41518000000001,31.379998999999998,48.580234999999995,48.459998999999996,64.902016,17.98901,66.387375,17.26,29.423840000000002,32.189999,35.619999,52.583038,72.671371,100.87307,173.990005,16.99,67.136208,91.026993,30.49,122.082047,83.129936
2017-12-27,114.28231799999999,42.660396999999996,53.779999,31.852328999999997,3.88,28.069958000000003,55.292423,124.31250800000001,151.029999,41.84,108.360001,55.29525400000001,31.48,48.630039000000004,48.139998999999996,64.26892099999999,17.998943,65.97022199999999,17.01,29.095135,31.82,35.279999,52.49418299999999,72.453972,101.289902,172.440002,16.959999,67.44403100000001,91.304451,30.389999,121.412582,83.05074300000001
2017-12-28,114.640068,42.640503,53.759997999999996,31.225824,4.04,28.479084000000004,54.884617000000006,124.34220900000001,151.330002,41.759997999999996,108.449997,57.224041,31.4,48.381012,48.360001000000004,64.120537,18.187672,65.950363,17.07,29.214664000000003,31.98,35.490002000000004,52.81012,72.829483,101.190659,172.580002,17.610001,66.987259,91.46300500000001,30.51,122.711533,83.169525
2017-12-29,113.626434,41.993984000000005,53.639998999999996,31.464493,3.96,28.538956,54.596168999999996,123.956055,150.220001,41.400002,107.910004,56.884254000000006,31.309998999999998,48.679844,47.470001,63.942482,17.949276,65.533211,16.93,29.025409999999997,31.530001000000002,36.02,52.770626,72.789963,100.386772,172.850006,17.059998999999998,66.91774699999999,91.076538,30.49,121.912178,82.793373
2018-01-02,114.053749,44.062847,54.77,32.05122,4.1,28.838314,55.023865,126.322502,151.899994,42.23,109.300003,58.583187,31.860001,49.416965000000005,47.849998,64.644821,18.674398,66.725082,17.379998999999998,30.071283,32.900002,36.799999,53.955376,73.106178,100.982239,172.919998,17.92,69.032822,91.958466,31.139999,125.409378,84.169304
2018-01-03,115.733208,45.087334000000006,54.77,33.344009,4.07,28.968039,56.03840600000001,127.243324,152.58999599999999,42.720001,110.93,58.892993999999995,32.09,50.303501000000004,49.400002,64.941582,18.833328,68.145393,17.67,30.888058,33.099998,37.849998,54.834061,74.11412800000001,101.657112,176.33999599999999,17.809998999999998,70.830139,92.444023,32.0,126.09881599999999,85.822395
2018-01-04,115.286018,46.589249,55.650002,34.437908,4.05,28.848292999999998,56.684929000000004,126.847275,153.610001,43.23,110.949997,58.932968,32.389998999999996,51.429108,50.59,65.683487,18.882996,68.21491999999999,18.120001000000002,31.595264,33.84,38.43,55.485671999999994,74.0746,101.379227,177.270004,17.4,72.587738,92.741302,32.549999,128.55685400000002,85.941185
2018-01-05,115.55432900000001,46.141659000000004,55.02,34.248959,3.99,28.698614000000003,56.575516,126.639343,155.600006,43.110001000000004,112.16999799999999,57.773697,32.490002000000004,51.618365999999995,52.16,65.98024699999999,18.823397,68.87044499999999,17.889999,31.376131,33.919998,38.220001,55.347454000000006,73.669449,101.38915300000001,176.509995,16.76,73.08422900000001,93.17731500000001,32.459998999999996,127.717522,85.871895
2018-01-08,115.26613600000002,45.674171,55.389998999999996,34.318573,3.97,28.848292999999998,57.152409,127.26313,156.03999299999998,43.25,112.709999,58.693118999999996,32.790001000000004,52.086535999999995,52.490002000000004,67.83006999999999,18.733999,68.920113,17.969998999999998,31.555424,34.799999,38.709998999999996,55.920078000000004,74.301888,101.289902,178.529999,16.85,74.275826,93.365593,32.580002,128.137192,86.25795
2018-01-09,115.315826,44.311508,55.52,34.83569,4.05,29.057846,57.619896,126.57993300000001,154.990005,42.540001000000004,111.709999,58.663139,32.380001,51.907238,52.459998999999996,67.47395300000001,18.813465,68.532753,18.049999,31.147036,34.52,38.240002000000004,55.771988,74.005424,100.952469,177.949997,17.059998999999998,74.37512199999999,93.246674,32.73,127.50769,85.891693
2018-01-10,115.753082,43.754509000000006,55.41,35.273251,4.0,27.90032,57.341395999999996,127.391853,154.509995,42.18,112.010002,57.953582999999995,32.830002,52.265839,53.0,67.53331,18.753864,69.039299,17.9,31.216760999999998,34.029999,37.93,56.018809999999995,73.372986,101.309753,178.699997,16.780001000000002,75.070213,93.296227,32.75,125.44934099999999,85.208679
2018-01-11,116.697151,45.753746,58.5,36.297534999999996,4.19,28.339382,58.86320500000001,131.263321,157.860001,43.07,115.139999,58.663139,34.009997999999996,53.122493999999996,54.720001,69.28421,19.071728,69.774292,18.6,32.013615,34.599998,38.84,57.618217,74.924446,101.597565,184.169998,17.27,76.510056,93.692596,33.099998,127.547661,86.050072
2018-01-12,118.38654299999999,46.907536,58.98,36.993652000000004,4.28,28.818356,59.728545999999994,132.283173,159.08999599999999,44.040001000000004,115.699997,58.423286,34.799999,52.933228,54.540001000000004,69.501839,19.389589,70.936363,18.82,32.10326,34.75,39.139998999999996,57.924274,75.626053,104.177948,186.149994,17.58,77.42360699999999,95.87265,33.209998999999996,127.038063,86.634102
