Date,AEE,AEP,AES,AWK,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EXC,FE,LNT,NEE,NI,NRG,PCG,PEG,PNW,PPL,SCG,SO,SRE,WEC,XEL
2017-12-12,61.360001000000004,75.288696,10.599965,88.849716,48.759674,28.085278999999996,82.489479,112.156631,86.102631,87.27624499999999,67.93573,63.175461,82.255371,40.627712,32.287921999999995,43.636677,155.954254,26.167131,28.666998,53.43,51.514034,88.339233,33.534702,42.790001000000004,50.523701,113.815178,67.04943100000001,50.159603000000004
2017-12-13,61.25,75.773987,10.530747999999999,89.456505,48.839008,28.105074,83.161819,111.969719,86.527557,87.16726700000001,69.144272,64.031448,82.314644,40.746593,31.902366999999998,43.914303000000004,155.358505,26.206792999999998,28.11763,53.09,51.682415,88.51765400000001,33.367222,42.529999,51.007324,114.360977,67.297173,50.447421999999996
2017-12-14,60.830002,75.556107,10.510973,89.87429,48.660511,28.32279,83.428772,111.772972,86.527557,86.780869,68.639061,63.736279,81.66261300000001,40.429577,31.754074,43.577187,156.857773,26.256371,27.64817,52.720001,51.444702,88.19054399999999,33.298264,42.779999,50.849407,114.89685800000001,67.089066,50.010731
2017-12-15,60.939999,75.803696,10.67907,90.34182,48.839008,28.500919,83.952805,112.261261,86.804253,87.42486600000001,69.055115,64.04849200000001,82.788857,40.360229,31.467378999999998,44.053115999999996,157.304581,26.286118,27.468378,53.049999,51.80127,88.755554,33.465740000000004,44.419998,50.642143,115.64113600000002,67.554825,50.397797
2017-12-18,60.41,74.773705,10.82739,90.01355,48.244019,28.16445,81.817146,110.208969,85.51958499999999,86.513367,70.283463,63.344772,81.69225300000001,40.102654,31.151026,43.230152000000004,155.239365,25.760593,27.558275,52.5,51.474419,87.457031,33.465740000000004,42.98,49.892033000000005,114.192276,66.861145,49.712990000000005
2017-12-19,59.490002000000004,73.793228,10.530747999999999,88.531403,47.321777000000004,27.719124,80.42304200000001,108.07736200000001,84.00762900000001,84.769623,69.193802,62.036446,80.052277,39.250668,30.656721,42.407196,153.005341,25.086336,27.218666,52.049999,50.830616,85.83139,31.938745,41.900002,49.161667,111.334251,65.533234,48.958714
2017-12-20,58.689999,73.783325,10.461533,88.869606,46.766449,27.729019,79.681496,107.32386000000001,83.493759,84.125633,67.658363,61.66972,79.232292,38.676079,30.241507000000002,42.149399,152.54861499999998,24.749207000000002,26.968952,51.119999,50.493858,85.048317,31.121069,41.32,49.289970000000004,111.076225,65.344948,48.125034
2017-12-21,58.369999,73.030632,10.501085,89.227707,46.865612,27.481617,79.740822,107.32386000000001,83.306,84.006737,62.71524,61.431839000000004,79.15325899999999,38.705795,30.241507000000002,41.961014,153.382645,24.45174,27.428423,44.5,50.523571000000004,84.463486,30.727007,37.389998999999996,48.845833,106.094521,65.02784,48.025787
2017-12-22,58.689999,72.941498,10.590077,90.033447,46.954861,27.7785,79.533188,107.789841,83.17752800000001,83.967102,64.617203,61.81839,79.340965,38.646355,30.132759000000004,42.139484,153.442215,25.066505,28.127619,44.57,50.583,84.39409599999999,30.667896000000002,39.009997999999996,47.868717,107.483841,65.126938,47.886841
2017-12-26,58.299999,72.287849,10.520862,89.943924,46.419373,27.738915999999996,79.42443100000001,107.20488700000001,82.61425,83.42218000000001,63.43838100000001,61.412018,78.935913,38.448223,29.974581,41.832115,152.906052,24.848361999999998,28.397308000000002,44.450001,50.474049,83.55154399999999,30.303390999999998,39.09,47.424572,107.11666899999999,64.77018000000001,47.470001
2017-12-27,58.700001,72.535439,10.550526,90.36171,46.816032,27.857670000000002,79.75071,107.809669,82.989777,83.877937,63.795002000000004,61.976974,79.528671,38.626545,29.974581,42.060162,154.186874,25.026842000000002,27.668148,44.68,50.523571000000004,83.878654,30.372351000000002,39.48,47.424572,107.007507,65.285484,47.799999
2017-12-28,59.150002,72.941498,10.639517999999999,91.13760400000001,46.99453,28.065489000000003,80.156082,108.672226,82.999649,84.303963,63.939999,62.393260999999995,80.18070999999999,38.933651,30.103102000000003,42.298126,155.239365,25.344141,27.977790999999996,44.810001,50.850426,84.453568,30.451162,39.720001,47.651577,107.08000200000001,65.830528,48.080002
2017-12-29,58.990002000000004,72.862267,10.708734,91.008286,46.905281,28.065489000000003,80.146194,108.52351399999999,83.11824,84.165253,63.240002000000004,62.621227000000005,80.40793599999999,39.042629,30.271165999999997,42.248554,155.08049,25.453211,28.44725,44.830002,51.0089,84.433746,30.49057,39.779999,47.464054,106.91999799999999,65.830528,48.110001000000004
2018-01-02,58.389998999999996,71.713432,10.758174,88.610977,46.558201000000004,27.729019,79.374992,107.522148,82.24861899999999,82.80791500000001,63.25,62.591496,81.60333299999999,39.220951,30.468884999999997,41.752796000000004,153.988312,25.14583,28.866768,44.490002000000004,50.513668,83.155052,30.145765,38.869999,46.556026,105.349998,65.176476,47.810001
2018-01-03,58.09,71.109299,10.748285000000001,87.984291,46.270621999999996,27.669641,76.31983199999999,107.175148,81.99168399999999,82.02520799999999,62.75,62.036446,80.70431500000001,38.695892,30.033896999999996,41.385933,150.72168,24.987181,28.846790000000002,43.77,50.256149,82.3918,30.214725,47.650002,46.289543,108.139999,64.948555,47.490002000000004
2018-01-04,57.43,70.267471,10.708734,87.14872,45.754959,27.699331,75.963882,105.390549,81.34934200000001,81.064171,62.290001000000004,61.164227000000004,79.56819200000001,38.151016,29.974581,40.900089,149.94722,24.878110999999997,28.51717,43.52,48.780357,81.78714000000001,30.293537,46.330002,46.092144,107.41999799999999,64.72063399999999,47.119999
