Date,AIV,AMT,ARE,AVB,BXP,CBG,CCI,DLR,DRE,EQIX,EQR,ESS,EXR,FRT,GGP,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SBAC,SLG,SPG,UDR,VNO,VTR,WELL,WY
2018-01-19,40.20134,137.619995,125.949997,168.699997,121.949997,45.880001,107.349998,106.274323,25.439842000000002,435.333008,60.470001,223.63000499999998,82.897888,121.56491100000001,23.049999,23.039938,20.719998999999998,34.86182,16.41,92.519997,62.972301,52.683422,61.312042000000005,191.61866799999999,63.1581,165.78999299999998,93.910004,162.19747900000002,35.970001,71.163841,54.470001,0.145,35.472965
2018-01-22,40.983585,139.240005,127.32,170.100006,123.470001,45.73,108.300003,108.29481499999999,25.777189,433.50372300000004,61.18,226.600006,84.39449300000001,123.30991399999999,23.17,23.266205,20.809998999999998,35.176159000000006,16.58,93.25,65.194855,53.397240000000004,62.63196899999999,191.836456,63.692913,167.649994,95.959999,164.034348,36.360001000000004,72.482239,54.490002000000004,0.145,35.651321
2018-01-23,41.924259,141.199997,127.66999799999999,172.690002,124.150002,45.950001,110.33000200000001,110.047905,25.995472,439.418976,61.790001000000004,231.830002,85.950562,123.67675,23.6,23.885983,21.299999,35.706596000000005,16.6,95.0,68.019966,54.061478,64.477882,196.103226,63.970226000000004,168.25,97.150002,164.26148999999998,37.029999,72.849007,55.950001,0.145,36.275566
2018-01-24,41.676712,141.759995,126.620003,171.800003,123.239998,45.209998999999996,109.589996,109.79038200000001,25.816876999999998,438.72305300000005,61.439999,231.55000299999998,84.781029,122.16970800000001,23.65,23.817118,21.290001,35.136864,16.33,94.610001,66.488869,53.54594399999999,63.991595999999994,192.965027,63.683014,168.949997,96.980003,164.034348,36.82,72.105553,55.889998999999996,0.145,37.246615999999996
2018-01-25,41.854946000000005,142.96000700000002,126.970001,170.179993,122.68,45.810001,108.610001,110.34503899999999,25.806955,436.60553,61.209998999999996,231.25999500000003,84.245819,122.110222,23.6,23.984358,21.17,35.185978000000006,16.190001000000002,94.5,64.256447,53.972252000000005,63.733562,190.638611,63.50474200000001,170.28999299999998,96.489998,162.157974,36.73,71.60000600000001,56.41,0.145,37.385334
2018-01-26,41.686611,145.130005,126.470001,170.08999599999999,122.970001,46.209998999999996,110.629997,110.582741,25.886332,439.011383,61.540001000000004,229.830002,83.46283000000001,121.336868,23.85,23.836794,21.24,35.127041,15.99,94.510002,65.68875899999999,53.744228,63.902275,190.915802,62.553951,172.279999,97.91999799999999,161.674072,36.509997999999996,71.57,55.889998999999996,0.145,37.504238
2018-01-29,41.042995,144.330002,124.510002,168.25,121.339996,46.34,109.83000200000001,106.343658,25.588673,432.6189269999999,61.209998999999996,227.74000499999997,82.055428,120.09751899999999,23.440001000000002,23.620363,20.950001,33.47678,15.93,93.25,65.214607,52.594196,62.909847,190.608887,61.969612,169.520004,98.470001,160.89389,36.049999,71.150002,55.529999,0.145,36.731365000000004
2018-01-30,40.547905,145.149994,125.75,166.869995,119.41999799999999,45.66,110.029999,105.541389,25.499376,436.993225,60.57,226.75,82.17437,118.49133300000001,23.110001,23.197342000000003,20.83,33.329433,15.6,92.959999,63.495838,52.009266,62.423561,191.658279,61.236713,169.71000700000002,98.190002,160.587753,35.889998999999996,70.199997,54.650002,0.145,36.453922
2018-01-31,41.429169,147.699997,129.699997,170.399994,123.709999,45.689999,112.769997,110.87986799999999,26.203833,452.53195199999993,61.610001000000004,232.979996,82.739311,119.77033999999999,23.030001000000002,23.689228,20.76,34.409962,15.91,95.370003,63.782299,52.954052000000004,64.616821,193.7966,62.306351,174.5,100.519997,161.338287,36.529999,71.68,55.970001,0.145,37.197071
2018-02-01,40.39938,147.059998,125.220001,164.110001,119.190002,45.810001,113.07,106.947823,26.759459999999997,441.94415300000003,60.330002,227.169998,81.331902,116.74633,22.84,23.187504,20.57,34.007217,15.36,91.75,61.96474499999999,51.361153,63.23735,189.06454499999998,60.107651000000004,174.729996,99.5,157.664551,35.310001,70.489998,54.400002,0.145,36.820541
2018-02-02,40.151833,145.220001,124.120003,163.96000700000002,119.339996,44.110001000000004,112.099998,106.68040500000001,26.570944,434.796143,59.950001,225.38000499999998,81.113853,114.555176,22.52,23.472799,20.110001,33.064213,14.87,91.690002,60.710239,51.022659000000004,63.346518999999994,188.40126,59.543121,173.21000700000002,98.07,154.573486,35.200001,70.33000200000001,54.330002,0.145,35.354065000000006
2018-02-05,39.280471999999996,142.03999299999998,119.879997,159.020004,114.739998,41.779999,110.510002,103.33270999999999,25.410078,427.300171,58.049999,217.99000499999997,79.161339,111.56091299999999,21.629998999999998,22.872698,19.35,32.150673,14.66,88.900002,59.001343000000006,49.877762,60.746361,183.124725,57.730681999999995,168.270004,93.639999,153.190887,34.18,67.58000200000001,52.880001,0.145,34.472195
2018-02-06,39.230965000000005,140.169998,118.540001,160.25,115.32,42.529999,108.550003,103.501083,25.32078,428.33410599999996,57.709998999999996,218.82000699999998,79.022583,111.263474,21.59,23.079288000000002,19.42,32.523949,14.67,89.190002,58.922321,49.847893,60.279922,183.540497,57.23548100000001,166.0,93.449997,154.040192,34.310001,67.790001,53.189999,0.145,34.363197
