Date,ALB,APD,AVY,BLL,CF,DWDP,ECL,EMN,FCX,FMC,IFF,IP,LYB,MLM,MON,MOS,NEM,NUE,PKG,PPG,PX,SEE,SHW,VMC,WRK
2017-12-01,131.824951,160.707199,112.177551,39.740002000000004,37.305656,71.010002,134.48091100000002,91.41403199999999,14.11,93.76651,154.001968,55.630001,103.199997,202.649994,118.385742,24.254539,37.112152,56.962993999999995,116.78518700000001,115.93,151.088226,47.740002000000004,395.070007,121.209999,61.982707999999995
2017-12-04,129.031845,161.462799,111.57,40.650002,36.62088,72.129997,136.843719,90.837601,14.3,91.310799,153.643585,56.880001,103.809998,208.440002,118.06720700000001,23.675145999999998,36.762886,58.474052,118.28728500000001,117.559998,152.570557,48.119999,406.929993,125.25,63.045551
2017-12-05,127.67518600000001,161.045227,113.209999,40.790001000000004,37.077396,71.540001,137.00323500000002,90.638824,14.11,89.693611,154.27075200000002,56.919998,104.58000200000001,205.899994,117.71881100000002,23.814999,36.124226,57.30099499999999,117.143303,116.75,152.292007,47.990002000000004,405.549988,122.709999,62.886623
2017-12-06,127.166451,159.494232,111.510002,40.799999,36.273525,71.08000200000001,136.46489,90.05246,14.35,87.836853,153.106033,56.799999,104.690002,201.509995,117.539635,23.41,35.755001,57.599228000000004,116.725494,116.190002,150.389999,47.580002,401.190002,121.110001,62.995884
2017-12-07,128.76251200000002,160.050995,112.349998,40.810001,37.930893,71.370003,135.50778200000002,90.936989,14.84,88.096397,152.568451,56.799999,106.510002,208.550003,117.459999,23.870001000000002,35.919998,58.24540699999999,117.34225500000001,116.110001,150.96000700000002,47.959998999999996,406.47000099999997,124.879997,63.134949
2017-12-08,130.27877800000002,159.991348,113.730003,39.599998,38.963024,70.730003,134.919586,91.612801,14.97,88.655426,152.34944199999998,56.91,107.139999,214.100006,116.76320600000001,23.620001000000002,35.400002,59.816113,117.72026100000001,115.91999799999999,151.41000400000001,47.790001000000004,408.850006,125.879997,63.989197
2017-12-11,130.817444,162.17865,114.980003,39.599998,39.101967,70.809998,134.261581,92.228989,15.02,89.48397800000001,151.61279299999998,57.32,107.510002,208.679993,117.19123799999998,23.84,34.669998,60.909645,117.51136000000001,115.68,152.259995,47.77,407.76001,122.91999799999999,63.989197
2017-12-12,130.039368,161.949982,114.459999,38.889998999999996,40.292889,70.790001,134.44104,92.447632,15.71,89.993095,151.572968,56.630001,106.989998,207.25,117.121559,24.82,34.59,61.585648,116.34748799999998,115.889999,151.33999599999999,47.709998999999996,407.019989,121.510002,63.512405
2017-12-13,129.779999,161.552292,114.370003,38.639998999999996,40.947895,70.559998,134.590576,92.507263,16.32,90.552116,152.34944199999998,56.48,107.5,208.009995,117.54958300000001,24.690001000000002,35.75,61.486233,116.36738600000001,116.25,151.270004,48.25,405.450012,123.110001,63.870003000000004
2017-12-14,127.58000200000001,159.603607,114.279999,38.290001000000004,40.709713,70.32,133.962479,90.450005,16.190001000000002,89.703598,150.94581599999998,55.18,105.43,202.199997,117.31068400000001,24.9,35.900002,59.18981899999999,114.28833,113.82,149.139999,48.029999,400.230011,120.239998,62.131702000000004
