Date,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2018-01-19,63.279999,76.379997,29.540001,79.690002,67.800003,58.029999,31.440001000000002,49.990002000000004,88.440002,105.599998
2018-01-22,63.130001,78.029999,29.780001000000002,79.690002,68.459999,58.470001,31.74,50.060001,89.019997,106.769997
2018-01-23,63.119999,77.910004,29.809998999999998,79.730003,68.760002,58.279999,32.23,50.540001000000004,88.589996,107.66999799999999
2018-01-24,63.389998999999996,77.699997,30.01,79.660004,68.230003,58.400002,32.139998999999996,50.23,88.849998,108.129997
2018-01-25,63.810001,77.089996,29.950001,79.739998,68.110001,58.43,32.07,51.009997999999996,89.610001,107.940002
2018-01-26,64.089996,77.510002,30.17,80.660004,69.190002,58.709998999999996,32.16,51.040001000000004,91.540001,109.0
2018-01-29,63.360001000000004,76.339996,30.049999,80.120003,68.559998,58.48,31.790001,50.389998999999996,91.290001,108.699997
2018-01-30,62.900002,74.800003,29.66,79.489998,67.940002,58.09,31.66,50.48,89.370003,108.160004
2018-01-31,62.950001,74.849998,29.74,79.730003,68.449997,57.82,32.310001,51.040001000000004,88.099998,107.809998
2018-02-01,62.09,75.620003,30.02,79.589996,68.510002,57.57,31.719998999999998,50.240002000000004,88.129997,106.610001
2018-02-02,60.459998999999996,72.459999,29.360001,77.989998,66.480003,56.470001,31.360001,49.880001,86.889999,105.589996
2018-02-05,58.150002,69.41999799999999,27.879998999999998,74.449997,63.700001,54.419998,30.549999,49.060001,83.040001,102.029999
2018-02-06,60.049999,69.970001,28.389999,75.809998,65.529999,55.02,30.49,48.330002,83.959999,104.639999
2018-02-07,59.509997999999996,68.800003,28.41,75.949997,64.690002,54.779999,30.35,48.099998,83.860001,104.32
2018-02-08,57.419998,66.720001,27.16,73.019997,62.009997999999996,53.599998,29.4,47.560001,80.949997,100.160004
2018-02-09,58.419998,66.66999799999999,27.68,73.809998,63.529999,53.709998999999996,30.09,48.560001,82.099998,100.83000200000001
2018-02-12,59.599998,67.760002,28.07,75.0,64.66999799999999,54.259997999999996,30.17,48.93,82.870003,102.199997
2018-02-13,59.450001,67.480003,28.190001000000002,75.16999799999999,64.83000200000001,54.509997999999996,30.389999,49.150002,82.93,102.730003
2018-02-14,60.25,68.459999,28.860001,76.120003,66.019997,54.48,30.200001,48.599998,83.870003,104.370003
2018-02-15,60.700001,68.290001,29.02,77.269997,67.279999,55.380001,30.48,49.68,84.800003,105.300003
2018-02-16,60.48,68.120003,28.98,77.290001,67.18,55.599998,30.68,50.119999,85.410004,104.790001
2018-02-20,60.209998999999996,67.75,28.889999,76.510002,67.239998,54.34,30.370001000000002,49.470001,84.470001,104.470001
2018-02-21,60.0,66.610001,28.93,76.529999,66.809998,53.689999,29.809998999999998,48.82,84.120003,104.32
2018-02-22,60.400002,67.339996,28.690001000000002,77.040001,66.889999,53.830002,30.15,49.07,83.989998,104.449997
2018-02-23,61.290001000000004,68.800003,29.120001000000002,77.68,68.290001,54.349998,30.700001,50.349998,85.33000200000001,105.910004
2018-02-26,61.560001,69.209999,29.559998999999998,78.75,69.360001,54.689999,30.809998999999998,50.200001,86.410004,106.800003
2018-02-27,60.709998999999996,68.309998,29.280001000000002,77.760002,68.660004,53.970001,30.15,49.400002,85.510002,104.540001
2018-02-28,59.630001,66.739998,28.870001000000002,76.650002,68.16999799999999,53.41,30.110001,49.060001,84.139999,104.07
2018-03-01,59.02,66.639999,28.370001000000002,75.150002,67.040001,53.290001000000004,29.959999,49.07,82.800003,102.949997
2018-03-02,58.959998999999996,66.949997,28.440001000000002,75.129997,67.68,53.740002000000004,29.860001,48.939999,83.639999,103.050003
2018-03-05,59.740002000000004,67.660004,28.84,76.029999,68.370003,54.209998999999996,30.280001000000002,49.939999,84.400002,104.279999
2018-03-06,60.400002,67.699997,28.959999,76.370003,68.519997,54.25,30.4,49.27,84.279999,105.0
2018-03-07,60.18,67.190002,28.91,76.360001,68.900002,53.759997999999996,30.530001000000002,48.900002,84.709999,104.290001
2018-03-08,59.919998,66.879997,28.7351,76.139999,68.800003,54.019901000000004,30.74,49.264998999999996,84.910004,104.370003
