Date,AAL,ALK,ALLE,AME,AOS,ARNC,AYI,BA,CAT,CHRW,CMI,COL,CSX,CTAS,DAL,DE,DOV,EFX,EMR,ETN,EXPD,FAST,FBHS,FDX,FLR,FLS,FTV,GD,GE,GWW,HII,HON,HRS,INFO,IR,ITW,JBHT,JCI,JEC,KSU,LLL,LMT,LUV,MAS,MMM,NLSN,NOC,NSC,PCAR,PH,PNR,PWR,RHI,ROK,ROP,RSG,RTN,SNA,SRCL,SWK,TDG,TXT,UAL,UNP,UPS,URI,UTX,VRSK,WM,XYL
2017-12-11,51.201534,69.382835,82.009041,71.910004,61.194706000000004,24.381239,173.480225,281.769104,143.105789,87.067192,169.660843,134.187012,56.742615,158.330002,54.05805600000001,150.757431,96.344261,118.519997,65.95832800000001,77.769997,64.160004,53.467361,67.905388,238.61000099999998,49.947868,41.4035,72.942764,198.83577,17.385094,222.433533,233.47776800000003,152.46907,142.639999,45.130001,87.82,164.259796,111.073532,37.447914000000004,68.21887199999999,110.258133,192.683044,314.404541,63.32,42.320377,237.89721699999998,37.889998999999996,304.559998,140.874527,70.28157,191.248932,69.437531,39.169998,54.29464300000001,190.617676,256.063324,64.916054,186.285263,170.447632,67.16999799999999,166.899994,274.380005,54.609997,64.239998,128.371231,117.058167,163.820007,122.61878999999999,94.32,85.370003,67.085838
2017-12-12,50.373131,69.462448,81.989082,72.129997,60.895515,24.6008,174.089737,288.515808,142.757401,87.096886,168.120911,134.187012,56.752575,157.190002,53.312358999999994,150.498428,96.75241899999999,118.220001,66.216553,77.760002,64.349998,52.612995,67.018188,239.5,50.246777,41.065022,72.453209,195.389709,17.641191,221.28922999999998,232.91923500000001,152.996506,141.419998,45.200001,86.379997,163.115173,111.013649,37.984161,68.228851,109.929245,193.659348,314.126099,63.43,42.090916,235.19316099999998,37.93,307.27999900000003,140.78495800000002,70.44811999999999,191.16922,69.347961,39.119999,54.095615,189.900879,255.024948,64.468361,186.096069,169.900467,67.300003,165.949997,270.0,54.55001800000001,63.360001000000004,130.012543,117.167244,163.649994,122.79779099999999,94.599998,84.639999,67.345093
2017-12-13,49.993858,68.686211,82.47811899999999,71.709999,60.805758999999995,25.129742,167.305206,290.406464,147.88360600000001,86.869247,168.478577,133.877777,57.459740000000004,157.28999299999998,53.322304,151.375076,95.746964,117.400002,66.74295,77.57,64.800003,52.762016,67.10790300000001,242.020004,49.848228000000006,40.836056,72.343315,195.837906,17.493444,223.18977400000003,234.46511800000002,155.046539,141.940002,44.990002000000004,87.129997,163.05545,111.642372,37.398262,67.999397,110.587021,193.240936,316.01547200000005,63.139998999999996,41.921318,237.70832799999997,36.950001,308.459991,141.153183,69.84037,194.008957,69.308151,38.290001000000004,54.085659,190.607727,255.504196,64.806618,187.848587,169.403046,66.040001,166.050003,272.600006,54.599998,63.029999,129.624603,117.40522800000001,163.809998,123.613258,94.410004,85.339996,67.29523499999999
2017-12-14,50.113628000000006,69.054428,81.520004,70.959999,59.878262,24.940120999999998,161.39996299999999,292.43643199999997,145.60418700000002,84.90956899999999,167.455261,133.379013,57.081261,157.179993,54.933006000000006,148.874588,95.318901,118.190002,66.057648,76.440002,64.059998,52.195751,66.489853,238.5,49.688812,40.019733,71.334244,195.42955,17.375244,221.56784100000002,233.25834700000001,152.488968,141.270004,44.880001,86.029999,161.8909,111.16334499999999,37.149998,65.974174,109.500694,191.686798,315.23983799999996,63.849998,41.751713,236.68435699999998,36.599998,306.910004,140.18782,68.963631,191.009781,68.511963,37.439999,53.956295,188.606674,251.98965499999997,64.518097,187.97804299999999,164.647659,65.860001,164.940002,274.480011,54.380001,63.130001,128.490601,115.85833000000001,161.169998,123.076241,94.730003,84.660004,66.507515
2017-12-15,50.961998,70.487465,82.279999,71.220001,60.566402000000004,25.2495,165.696503,292.496155,146.012299,85.78523299999999,168.528244,134.196976,52.718742000000006,158.0,55.778130000000004,150.299164,97.041115,119.510002,66.802544,77.290001,64.440002,52.930901,66.210739,240.05000299999998,50.266705,40.965472999999996,71.99363699999999,198.03898600000002,17.552544,228.83171099999998,238.19519,153.504028,144.08999599999999,45.529999,86.75,164.399139,112.14135700000001,37.259997999999996,66.034042,110.587021,194.316879,321.017395,64.699997,42.210636,236.60482799999997,37.220001,310.47000099999997,140.43663,68.90385400000001,193.560562,67.845161,37.720001,54.991234,190.08007800000001,252.229279,65.751747,190.567001,167.333755,66.879997,165.71000700000002,276.549988,55.220001,63.759997999999996,129.91308600000002,117.008583,164.28999299999998,125.472923,95.0,85.870003,67.375008
2017-12-18,51.391171,73.204262,82.559998,71.5,61.114922,25.558884,170.662506,294.685364,149.07806399999998,86.730553,170.922577,134.496231,53.37610600000001,159.880005,55.748302,153.457169,98.823051,118.33000200000001,67.895065,77.059998,64.959999,53.358081999999996,67.267403,241.91000400000001,50.655289,41.124756,72.663025,197.65055800000002,17.493444,228.781952,237.965805,153.842392,142.669998,45.529999,86.639999,165.284988,112.60041799999999,37.509997999999996,66.582741,110.676727,193.470062,320.957733,65.699997,42.899014,237.022369,37.529999,308.399994,142.944595,70.338516,197.416641,68.561729,38.380001,55.1007,191.971634,260.915833,66.099968,187.928253,171.730988,67.83000200000001,167.610001,275.399994,56.189999,64.559998,131.773239,117.811775,168.570007,126.009941,95.940002,86.120003,67.70405600000001
2017-12-19,51.341266999999995,72.836052,80.07,72.059998,61.124897,25.578842,171.72164899999999,295.78988599999997,150.212799,86.203156,172.869858,134.55609099999998,54.631077000000005,158.990005,55.430138,153.895508,99.091835,119.440002,68.073837,76.860001,64.66999799999999,52.980576,67.476738,242.539993,50.436085,40.985378000000004,72.663025,199.025009,17.325996,227.458527,237.36740099999997,153.364716,142.570007,45.07,86.739998,166.67846699999998,112.510597,37.459998999999996,66.233566,111.69329099999999,192.214798,318.183319,65.91999799999999,42.899014,236.992538,37.5,307.119995,143.03416399999998,70.637405,197.35685700000002,68.860298,37.799999,55.13055799999999,192.977127,258.73919700000005,65.164772,186.633774,171.462387,67.779999,168.649994,270.920013,56.349998,64.43,132.5392,118.000183,166.380005,126.079552,96.0,85.650002,67.664169
2017-12-20,51.820343,73.413246,81.0,72.480003,61.314384,26.077845,170.63253799999998,296.436676,151.81535300000002,86.322571,174.01238999999998,134.735657,55.188843000000006,159.08999599999999,55.897442000000005,153.785919,99.06197399999999,118.889999,68.49098199999999,77.150002,64.480003,53.19913100000001,67.686073,251.07000699999998,50.715073,40.94556,72.922775,200.48909,17.188097,229.796906,237.38734399999998,153.981705,142.33999599999999,45.43,87.209999,167.763367,112.520576,37.650002,66.233566,110.31793200000001,193.370453,315.94586200000003,66.089996,43.567440000000005,235.531158,36.220001,306.619995,144.148819,71.04588299999999,198.343292,69.447487,38.540001000000004,55.59826700000001,192.210571,258.579437,65.940781,185.877014,174.039047,68.760002,169.009995,271.420013,57.0,65.900002,133.97160300000002,117.335815,168.300003,126.29834,96.32,85.790001,67.62428299999999
2017-12-21,52.688675,74.328796,81.0,72.620003,61.543762,26.746508000000002,172.27121,293.58078,153.925568,86.700691,173.525574,134.645859,54.660956999999996,159.649994,55.70853,155.270294,100.405891,119.57,69.10676600000001,78.099998,64.150002,53.755463,69.101601,250.169998,51.073761,41.4035,72.732956,201.664322,17.207796,233.85672000000002,234.754364,152.97659299999998,142.78999299999998,45.040001000000004,90.379997,167.474716,112.49063899999999,38.0,66.323357,108.25488999999999,194.546005,315.418823,66.029999,44.136105,233.403702,36.450001,304.48999,143.591492,70.966187,198.971024,69.835625,39.400002,55.59826700000001,193.275787,257.980377,66.418327,186.04628,174.645905,68.83000200000001,169.059998,272.859985,57.18,67.279999,133.026611,117.583717,170.470001,126.606628,95.58000200000001,85.790001,67.554489
2017-12-22,52.489059,73.920776,80.339996,72.599998,61.094975,26.776446999999997,172.041382,293.65045200000003,155.030426,88.262955,174.618423,134.755585,54.78047900000001,156.850006,55.70853,156.933975,100.00769,119.730003,69.186226,77.510002,64.769997,53.695854000000004,68.314087,250.020004,50.884453,41.204395,72.40325899999999,201.823685,17.237345,233.67759700000002,236.80888399999998,152.747711,142.779999,45.049999,89.769997,166.350006,114.296951,38.110001000000004,66.123825,107.82633999999999,196.956909,316.25415,65.970001,43.727066,233.353989,36.540001000000004,303.77999900000003,143.830353,70.737038,198.532608,69.397728,39.41,55.409195,193.70388799999998,259.128601,66.587456,186.514282,173.800278,68.309998,167.46000700000002,270.649994,56.759997999999996,67.25,133.76272600000001,117.64321100000001,169.490005,126.527077,95.33000200000001,85.910004,67.384979
