Date,AEE,AEP,AES,AWK,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EXC,FE,LNT,NEE,NI,NRG,PCG,PEG,PNW,PPL,SCG,SO,SRE,WEC,XEL
2017-11-21,62.706093,76.031479,10.510973,88.113609,49.48,28.787909000000003,80.624115,111.765106,88.809998,85.681129,79.466385,63.461234999999995,84.577011,41.004169,33.840038,43.775490000000005,155.227005,26.99012,29.436111,53.73,51.179455,88.596954,35.618195,42.818871,51.299999,117.913124,67.574646,50.229076
2017-11-22,62.46781899999999,75.85321,10.560413,88.19319200000001,49.400002,28.847284000000002,81.406868,111.74526999999999,88.629997,85.85946700000001,79.397041,63.342113,84.478226,41.113144,33.849926,43.815146999999996,155.179993,26.811642,29.186398999999998,53.889998999999996,51.010841,88.497826,35.657749,42.907665,51.360001000000004,117.754349,67.653915,50.149677000000004
2017-11-24,62.527390000000004,75.734375,10.570300999999999,88.272766,49.439999,28.728531,81.456406,111.77503200000001,88.779999,86.09724399999999,79.79328199999999,63.858303,84.339912,41.241935999999995,33.553340999999996,43.844898,156.029999,26.811642,28.99662,54.060001,51.139782000000004,88.735725,35.904961,41.299492,51.389998999999996,117.79403700000002,67.911575,50.328323
2017-11-27,62.93444100000001,76.00177,10.619741000000001,88.730347,49.75,29.233235999999998,82.19953199999999,112.75733899999999,88.879997,86.691704,80.060745,63.947639,85.041344,41.261749,33.553340999999996,44.231586,157.0,26.871136,28.736917,54.189999,51.159618,89.221436,36.171951,42.049313,51.560001,118.51846299999998,68.149406,50.477196
2017-11-28,63.391135999999996,76.279076,10.451645,89.098396,49.700001,29.27282,83.17055500000001,113.451904,88.980003,87.16726700000001,80.377739,64.086609,85.298203,41.568855,33.157897999999996,44.400143,157.78999299999998,26.970290999999996,28.826815000000003,55.049999,51.615871000000006,89.984688,36.122505,42.937263,51.490002000000004,118.66731999999999,68.307968,50.864262
2017-11-29,63.222359,76.397926,10.491197,89.87429,49.610001000000004,29.361884999999997,83.230003,113.670197,89.0,87.583389,80.64520300000001,64.136246,85.110497,41.301373,33.286415000000005,44.519127000000005,157.770004,26.940544,28.167574,55.060001,52.270489000000005,90.212677,36.201614,43.154315999999994,51.09,119.342133,68.634987,50.874184
2017-11-30,63.50034300000001,76.883209,10.461533,91.077919,49.900002,29.698355,84.129997,114.672348,89.18,88.217476,80.506516,64.374489,85.436516,41.321186,33.751059999999995,44.727345,158.03999299999998,27.297503999999996,27.618206,54.240002000000004,52.627556000000006,91.005661,36.260940999999995,42.591946,51.200001,120.06655900000001,68.86290699999999,51.22155
2017-12-01,63.291855000000005,76.496964,10.550526,90.739716,49.740002000000004,29.223339000000003,83.57,114.315147,88.730003,87.999504,80.001312,64.950233,84.488098,41.440071,33.375389,44.449721999999994,157.470001,27.099192,27.917862,54.130001,52.637474,90.212677,35.865406,43.667351000000004,51.110001000000004,119.560455,68.516068,50.973434000000005
2017-12-04,62.636596999999995,76.645523,10.649405,90.83918,49.759997999999996,29.055104999999998,83.550003,114.63266000000002,88.620003,87.662651,79.506004,64.99987,83.35198199999999,41.172588,32.208836,44.310905,155.970001,26.801727000000003,27.378481,53.52,52.45894200000001,89.419678,35.558865000000004,43.736416,50.330002,119.570374,67.961128,50.695541
2017-12-05,62.030983,75.536293,10.599965,90.182663,49.310001,28.609777,83.120003,113.461823,87.959999,87.20689399999999,69.342392,64.404266,82.126938,40.865475,31.981453000000002,43.963879,155.639999,26.573667999999998,27.288584000000004,53.599998,52.250652,88.55729699999999,34.896339000000005,42.91753,50.360001000000004,115.33296999999999,67.624191,50.417645
2017-12-06,62.259327,75.991875,10.708734,90.461189,49.41,28.708738,83.529999,114.10678100000001,88.309998,87.65274000000001,68.07441700000001,64.632584,82.581383,40.736686999999996,32.001228000000005,44.162182,157.779999,26.77198,27.258621,53.060001,52.329997999999996,89.122314,35.014998999999996,43.193779,50.889998999999996,115.422279,67.80256700000001,50.705463
2017-12-07,62.219616,75.873024,10.580189,90.600449,49.580002,28.560297,83.68,114.176231,87.900002,87.672554,71.09575699999999,64.43405200000001,82.69005600000001,40.429577,32.34724,44.261333,158.179993,26.801727000000003,27.698112,52.959998999999996,51.98,89.36020699999999,35.02,43.756145000000004,51.330002,115.541367,68.099861,50.457347999999996
2017-12-08,62.735878,76.189949,10.639517999999999,91.038124,49.869999,28.609777,83.879997,114.592972,88.050003,88.098579,71.125488,64.741776,83.02595500000001,40.667339,32.45599,44.558784,159.029999,26.910797,28.217515999999996,53.459998999999996,51.93,89.954948,34.5,45.167,51.060001,115.799377,68.337692,50.814636
2017-12-11,63.202503,76.338509,10.738398,91.76429,50.09,28.5504,84.139999,115.08908799999999,88.370003,88.831749,72.294403,65.218254,83.559441,41.529228,32.762454999999996,44.697601,159.25,26.950459999999996,29.096502,53.709998999999996,52.400002,90.420837,34.619999,42.380001,51.68,117.12915,68.545799,51.05283
