Date,ADM,BF.b,CAG,CHD,CL,CLX,COST,COTY,CPB,CVS,DPS,EL,GIS,HRL,HSY,K,KHC,KMB,KO,KR,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TSN,WBA,WMT
2017-11-21,39.34,,35.343376,44.599209,71.847252,134.364243,172.957169,16.7474,45.503155,71.05837199999999,86.49391899999999,125.119423,53.083794,34.33662,108.510002,63.829803000000005,80.010002,116.07096899999999,45.407722,22.678738,42.104729,99.550537,61.27,65.063683,115.25045,88.048767,102.337112,112.800941,219.22636400000002,54.325508,78.906136,78.77082800000001,70.743195,96.01398499999999
2017-11-22,39.240002000000004,,35.313541,44.559387,71.379677,134.165405,172.019684,16.856598,46.426319,71.038498,85.867798,125.458389,53.212734,34.087948,108.120003,64.186897,79.82,115.12851699999999,45.467236,23.037136,42.114681,98.50589000000001,61.27,64.905106,114.287125,87.661713,102.515327,111.966408,219.91468799999998,54.574024,79.124992,79.338737,70.912201,95.90456400000001
2017-11-24,39.139998999999996,,35.263816999999996,44.619122,71.638336,134.602844,171.161972,16.876453,45.701687,70.114243,86.02681,125.807327,53.212734,34.227203,107.449997,64.405121,79.760002,115.555107,45.506912,22.877848,41.935596000000004,98.625275,61.75,64.89520300000001,115.101479,87.7808,102.15889,110.64506499999999,221.341232,54.593903000000005,79.254311,80.175674,69.868347,96.11346400000001
2017-11-27,39.07,,35.741161,44.897865,71.628387,134.881226,172.149338,16.876453,46.436245,69.965164,86.374664,124.77048500000001,53.609474,33.998428000000004,108.370003,64.543983,79.610001,115.83287800000001,45.526749,23.07696,42.253966999999996,99.610237,61.77,64.488861,115.051819,88.28694899999999,101.703445,112.512825,219.585495,54.83248100000001,78.96582,80.942848,68.983559,96.11346400000001
2017-11-28,39.09,,36.238396,45.445403999999996,72.384468,136.163727,173.186554,17.075001,46.59507,72.25095400000001,87.08028399999999,124.929993,54.393035999999995,34.40625,109.839996,65.406952,78.980003,116.447952,45.457316999999996,23.455269,42.393257,100.296722,62.09,65.806984,115.965477,88.723618,101.861855,114.18189199999999,219.485748,55.995532999999995,78.16999799999999,80.853188,71.816864,96.262672
2017-11-29,39.77,,36.994194,46.580292,71.638336,138.410583,177.05621299999999,17.09,48.630009,72.946632,88.908951,123.93,55.88081,35.798813,110.5,66.260002,81.089996,118.193977,45.130001,24.271624,42.721577,101.600052,61.889998999999996,66.768326,116.03499599999999,88.703766,101.663841,116.894127,213.83947799999999,57.357399,76.519997,81.719994,71.49874100000001,97.04853100000001
2017-11-30,39.880001,,37.123474,46.878948,72.076065,138.480164,183.93778999999998,17.23,48.937729,76.126869,89.63446,124.83000200000001,56.09901800000001,36.256371,110.93,66.160004,81.370003,118.809059,45.77,25.745047,42.721577,101.65974399999999,62.669998,67.224213,116.519997,89.309151,101.733147,115.910568,217.06162999999998,57.387218000000004,78.099998,82.25,72.33382399999999,96.720268
2017-12-01,40.830002,,37.262699,46.630066,72.66301700000001,138.82814,184.635925,17.049999,48.858318,74.656013,89.704025,124.769997,55.999832,36.574669,111.010002,65.989998,81.209999,119.553101,45.970001,25.555891,42.701675,102.326332,62.919998,67.96751400000001,116.779999,89.676353,102.683647,114.857468,218.06919900000003,57.436924,79.209999,82.389999,71.031487,96.83963
2017-12-04,41.200001,,37.720154,48.133297,74.13537600000001,142.15866100000002,189.054108,17.559998999999998,49.950233000000004,71.2472,92.526527,125.339996,57.388419999999996,37.479836,112.82,67.540001,81.91999799999999,122.13245400000001,46.23,26.760510999999997,42.890713,103.948036,63.349998,69.45411700000001,117.459999,90.718414,103.574738,118.612862,215.814667,59.176533,80.510002,83.559998,71.150787,96.501419
2017-12-05,40.84,,36.964355,48.063614,74.205017,143.818954,187.318756,17.639999,49.463837,70.571396,92.924065,124.5,56.783393999999994,36.902912,112.760002,67.970001,80.639999,121.87451899999999,46.259997999999996,26.103445,42.771324,102.435776,63.049999,69.553223,117.589996,90.708488,104.41632800000001,116.695427,216.293518,58.928017000000004,80.32,83.349998,69.768929,97.317123
2017-12-06,41.220001,,36.874859,47.575809,73.866776,144.206696,186.720352,17.629998999999998,49.821186,70.93911,94.365128,124.470001,56.942089,36.902912,113.760002,68.129997,80.489998,121.190002,46.450001,26.292601,43.109592,102.475571,63.27,71.020012,118.900002,90.559624,106.535149,118.13598600000002,216.403229,59.166592,81.07,83.290001,70.63383499999999,96.769997
2017-12-07,41.310001,,37.043915000000005,47.914288,72.822189,143.401398,185.70306399999998,17.6,48.917873,70.650902,93.52037,125.18,56.227955,36.733818,113.559998,67.269997,79.360001,119.760002,45.779999,26.412066999999997,42.462897999999996,101.619949,62.299999,70.861435,116.730003,89.41832,105.644051,117.698853,216.323441,60.54834,79.949997,82.82,69.202271,96.779999
2017-12-08,41.509997999999996,,37.043915000000005,48.183079,72.941574,144.385635,187.568085,17.780001000000002,48.590302,72.638542,93.570061,125.629997,55.384884,37.042171,113.199997,66.529999,78.480003,120.110001,45.310001,26.561401,42.433052,100.64494300000001,63.220001,70.901077,116.57,89.686279,105.535141,117.83793600000001,217.450684,62.268066000000005,80.139999,83.620003,71.130913,96.550003
2017-12-11,41.900002,,37.033974,47.745045000000005,72.792343,144.206696,188.355972,17.91,48.193241,72.628609,93.937782,125.470001,55.434479,36.793503,112.800003,66.550003,78.370003,118.489998,45.330002,26.461845,42.651932,100.00819399999999,62.939999,71.010094,117.389999,89.54734,104.99058500000001,116.496727,218.837311,61.611984,80.790001,82.599998,71.458969,96.93
2017-12-12,41.77,,37.342255,48.173119,72.11586,144.30609099999998,187.79747,18.620001000000002,49.394348,72.400032,93.58000200000001,124.949997,55.603092000000004,36.793503,113.400002,65.949997,78.949997,116.400002,45.290001000000004,26.212954999999997,42.661884,100.555397,62.91,71.079468,117.400002,89.170212,106.23812099999999,117.18222800000001,219.475754,61.472816,80.150002,82.66999799999999,71.588211,96.699997
2017-12-13,40.049999,,37.133419,47.914288,72.97142,145.757614,187.777512,19.42,48.828537,71.177628,93.760002,127.949997,56.00975,36.92281,113.160004,65.83000200000001,79.279999,117.389999,45.900002,26.571356,42.721577,100.445953,63.509997999999996,71.67411,117.800003,90.192421,107.16881599999999,117.380936,218.04924,61.254124,79.5,82.699997,71.299911,97.760002
2017-12-14,39.57,,36.805244,48.242805,72.86198399999999,145.409653,186.032181,19.540001,48.203167,70.36269399999999,92.980003,127.809998,55.672523,36.425465,113.360001,65.050003,78.980003,117.25,46.029999,25.784868,42.552440999999995,99.72962199999999,63.130001,71.148849,118.019997,90.311516,106.61435700000001,117.74852,222.20910600000002,60.538399,79.370003,80.709999,69.94787600000001,97.129997
2017-12-15,40.560001,,37.551094,48.840118,73.66780899999999,146.771698,192.21563700000002,19.780001000000002,49.225597,72.628609,93.91999799999999,129.619995,56.426327,36.594563,114.139999,64.989998,79.540001,118.510002,46.189999,26.332424,43.15934,100.913567,64.010002,71.029915,119.220001,91.194778,108.59456599999999,118.66253700000001,223.895004,60.5881,79.800003,81.279999,71.518623,97.110001
2017-12-18,40.220001,,37.561039,49.039219,73.60811600000001,147.238953,191.796768,19.700001,49.295082,71.22731800000001,94.160004,129.389999,57.328911,36.873074,114.260002,65.639999,79.370003,119.650002,45.93,26.879978,42.890713,101.172241,64.029999,72.00116700000001,118.050003,91.184853,106.90148899999998,119.824921,221.879913,60.975784,80.849998,82.849998,72.12505300000001,97.900002
2017-12-19,40.130001,,37.769878000000006,48.999401,74.463676,147.18923999999998,187.827393,19.379998999999998,48.421547,71.863365,94.230003,127.839996,57.160297,36.624401,115.449997,65.470001,78.519997,120.57,46.130001,26.8302,43.029999,101.052849,64.209999,73.24000500000001,118.610001,90.986366,107.050003,120.679321,222.68794300000002,60.657683999999996,80.699997,81.459999,71.76715899999999,98.800003
2017-12-20,39.869999,,37.928993,49.258236,74.13537600000001,147.527267,187.009567,19.450001,47.974857,73.105644,95.980003,127.690002,58.281086,36.355835,114.989998,66.870003,77.379997,120.449997,46.080002,27.198555,42.731525,100.88372,64.019997,72.599998,119.019997,90.837502,104.370003,122.61663100000001,222.967255,60.419109,80.589996,81.33000200000001,72.29405200000001,98.75
2017-12-21,40.09,,37.640594,49.278145,74.274666,147.91499299999998,186.301468,19.75,48.312355,74.178978,95.800003,127.58000200000001,59.04480699999999,36.216578999999996,114.660004,67.650002,77.879997,120.279999,45.599998,27.427532,42.880759999999995,100.63499499999999,63.810001,71.940002,118.260002,90.97644,104.779999,123.103447,224.05462599999998,60.23024,81.18,81.160004,72.82094599999999,98.059998
2017-12-22,40.189999,,37.869328,49.82568,74.76213100000001,148.65069599999998,186.131927,19.93,48.411625,72.95657299999999,96.120003,127.75,59.63991899999999,36.534882,114.949997,68.099998,78.239998,120.660004,45.59,28.124421999999996,43.139439,101.40106999999999,63.77,72.139999,118.599998,91.43296099999999,104.650002,124.40491499999999,223.26654100000002,60.359467,81.099998,80.620003,72.284111,98.209999
2017-12-26,40.259997999999996,,37.998604,49.935188000000004,75.09043100000001,148.819717,186.05213899999998,20.15,47.93515,73.224907,96.33000200000001,128.850006,59.630001,36.54483,115.010002,68.150002,78.110001,121.309998,45.810001,27.67642,43.199131,101.490616,63.84,72.08000200000001,118.889999,91.78031899999999,104.110001,124.454582,224.962402,60.399227,81.82,81.730003,72.870659,99.160004
2017-12-27,40.240002000000004,,37.859379,49.835636,74.980995,148.422028,185.80281100000002,19.85,48.223022,72.31059300000001,97.019997,127.75,59.689514,36.395626,114.58000200000001,68.290001,77.980003,121.879997,45.93,27.586821,43.029999,101.610001,64.230003,72.43,119.300003,91.403191,104.709999,123.97771499999999,225.43125899999998,60.498633999999996,81.68,81.480003,72.433235,99.260002
