Date,AAP,AMZN,APTV,AZO,BBY,BWA,CBS,CCL,CHTR,CMCSA,CMG,DG,DHI,DIS,DISCA,DISCK,DISH,DLTR,DRI,EXPE,F,FL,FOX,FOXA,GM,GPC,GPS,GRMN,GT,HAS,HBI,HD,HLT,HOG,HRB,IPG,JWN,KMX,KORS,KSS,LB,LEG,LEN,LKQ,LOW,M,MAR,MAT,MCD,MGM,MHK,NCLH,NFLX,NKE,NWL,NWS,NWSA,OMC,ORLY,PCLN,PHM,PVH,RCL,RL,ROST,SBUX,SIG,SNI,TGT,TIF,TJX,TPR,TRIP,TSCO,TWX,UA,UAA,ULTA,VFC,VIAB,WHR,WYN,WYNN,YUM
2017-12-12,102.9673,1165.079956,85.66999799999999,711.049988,63.52,53.380001,57.970001,66.550003,329.98999,39.35413,318.380005,90.982201,50.0,107.43,19.65,18.32,49.630001,106.220001,86.584236,118.690002,12.297168,44.28257,33.599998,34.099998,41.529999,92.730003,33.730675,60.111763,31.445288,91.4636,20.950001,181.800003,77.0,50.267288,27.540001,20.469998999999998,45.740002000000004,66.860001,61.119999,50.290001000000004,58.32,45.969612,61.395320999999996,40.59,84.664665,25.314049,128.759995,14.62,172.229996,32.709998999999996,275.339996,53.650002,185.729996,62.169998,31.16,16.549999,16.219998999999998,73.909195,246.86000099999998,1723.719971,33.689999,132.940002,123.242897,99.655342,76.410004,58.950256,52.709297,81.660004,61.02,95.025398,73.315002,41.509997999999996,35.099998,67.839996,90.257439,12.38,13.59,214.86999500000002,72.529999,29.389526,166.509995,111.980003,161.817139,81.611923
2017-12-13,102.43762199999999,1164.130005,83.559998,708.210022,64.389999,52.32,57.169998,65.410004,329.0,38.427803000000004,319.700012,91.391083,49.810001,107.610001,19.790001,18.5,48.990002000000004,105.589996,87.041306,118.550003,12.326447,45.057541,32.34,32.75,41.400002,93.260002,34.028648,60.32,31.644496999999998,94.872864,21.24,183.029999,76.75,50.257435,27.309998999999998,20.15,46.27,67.470001,61.099998,50.720001,58.82,45.919998,61.075504,40.07,85.27233100000001,25.452,128.470001,15.59,173.550003,33.16,275.51001,53.16,187.860001,64.300003,31.4,16.5,16.280001000000002,73.115646,245.919998,1742.609985,33.32,132.610001,121.113045,95.75431800000001,76.970001,59.169070999999995,53.5742,81.559998,62.669998,95.622414,73.59384200000001,42.27,34.709998999999996,67.91999799999999,89.66999100000001,12.36,13.62,215.02999900000003,73.059998,29.32,167.03999299999998,111.800003,164.349426,81.81100500000001
2017-12-14,100.139015,1174.26001,83.050003,701.22998,63.75,51.540001000000004,58.130001,65.18,328.679993,38.965668,314.019989,90.543396,50.34,110.57,20.040001,18.65,48.52,104.650002,86.405388,119.900002,12.160532,44.044121000000004,34.220001,34.880001,40.810001,91.480003,32.955944,59.459998999999996,31.176353000000002,95.290329,21.26,182.130005,76.019997,49.637221999999994,26.889999,20.18,44.959998999999996,67.089996,61.41,49.779999,58.57,45.990002000000004,61.105484,39.310001,85.252411,24.799999,127.720001,16.24,173.139999,32.830002,273.559998,52.810001,189.559998,64.529999,30.48,16.450001,16.219998999999998,72.510559,241.44999700000002,1760.9200440000002,33.049999,131.690002,121.08319099999999,96.381264,75.510002,59.377937,52.947891000000006,81.440002,61.939999,98.846313,73.115822,42.82,34.490002000000004,66.779999,89.261772,12.45,13.82,217.169998,73.349998,29.709999,163.919998,110.769997,164.498962,81.661697
2017-12-15,100.63871800000001,1179.140015,84.400002,697.0599980000001,65.32,51.529999,58.900002,65.949997,322.309998,39.553340999999996,312.119995,90.683014,50.580002,111.269997,21.040001,19.75,48.57,106.290001,87.846138,120.879997,12.277648,45.35561,34.220001,34.990002000000004,40.950001,91.980003,33.333378,58.360001000000004,31.335720000000002,93.501205,21.459999,182.580002,77.089996,50.073853,27.200001,20.459999,45.490002000000004,67.730003,61.650002,51.349998,58.110001000000004,46.779999,61.365341,39.509997999999996,86.358162,24.59,129.820007,15.48,174.059998,32.880001,274.709991,54.0,190.119995,64.790001,30.59,16.35,16.02,73.810005,240.19999700000002,1760.0,33.43,134.03999299999998,124.496918,95.644852,75.959999,57.97554399999999,53.435019999999994,83.209999,62.610001000000004,100.836372,73.862717,42.830002,35.029999,68.41999799999999,89.859169,13.62,15.17,218.25,74.410004,30.24,164.490005,112.610001,165.525833,81.92049399999999
2017-12-18,102.647491,1190.579956,84.239998,704.400024,67.010002,52.189999,59.0,66.599998,323.230011,39.384014,313.420013,92.298615,51.450001,111.029999,21.639999,20.41,49.849998,109.099998,89.96255500000001,121.959999,12.355725,46.269672,34.5,35.189999,42.150002,93.440002,34.197502,58.630001,31.853665999999997,90.996445,21.120001000000002,184.729996,78.089996,51.254749,27.700001,20.33,46.630001,68.519997,63.189999,53.279999,61.009997999999996,47.139998999999996,62.324799,40.389998999999996,87.105293,25.85,133.33999599999999,14.84,174.199997,32.950001,275.140015,54.98,190.419998,64.809998,30.84,16.6,16.33,73.470001,245.88000499999998,1781.3499760000002,33.84,136.309998,125.97985800000001,97.585411,77.559998,57.71694599999999,54.598164000000004,83.389999,64.08000200000001,100.110001,75.157333,43.490002000000004,35.459998999999996,69.199997,89.401161,14.24,15.65,222.66000400000001,74.139999,30.66,165.360001,114.480003,164.628571,82.726761
2017-12-19,99.669312,1187.380005,85.620003,701.01001,65.800003,52.200001,59.459998999999996,68.129997,316.97000099999997,38.985592,313.170013,91.84983100000001,50.799999,111.809998,22.01,20.84,48.470001,109.16999799999999,96.073334,121.459999,12.385003999999999,45.911995000000005,34.369999,35.060001,42.490002000000004,93.010002,34.078312,58.580002,32.042915,91.11571500000001,20.870001000000002,185.979996,77.809998,50.798266999999996,27.629998999999998,20.389999,46.509997999999996,67.849998,63.360001000000004,52.880001,60.34,46.939999,61.84506999999999,40.799999,88.519859,25.25,133.139999,15.1,173.389999,32.84,276.559998,55.59,187.020004,64.239998,30.809998999999998,16.65,16.27,73.870003,243.02999900000003,1780.619995,33.369999,136.600006,125.950005,96.858948,78.540001,57.697052,52.93795,83.769997,64.059998,100.41999799999999,75.744888,43.48,34.77,70.5,89.490768,14.1,15.43,227.47000099999997,73.849998,30.93,166.100006,113.559998,165.63549799999998,82.477913
2017-12-20,98.529999,1177.619995,85.870003,700.900024,66.730003,53.060001,60.080002,67.699997,316.380005,39.224644,298.670013,91.48084300000001,50.779999,109.690002,22.370001000000002,21.120001000000002,48.700001,108.91999799999999,95.05983,120.010002,12.414284,45.991482,33.860001000000004,34.27,42.52,93.220001,34.088245,58.799999,32.291927,90.559105,20.299999,187.309998,78.349998,50.321940999999995,27.85,20.15,46.84,68.470001,63.720001,53.130001,60.400002,47.029999,62.524685,40.740002000000004,89.844765,25.33,133.83999599999999,15.12,172.169998,33.16,277.549988,54.82,188.820007,63.59,30.209999,16.6,16.24,74.0,242.05000299999998,1774.0,33.540001000000004,135.619995,123.480003,98.1427,79.610001,57.418564,53.792912,83.849998,64.480003,100.050003,75.48597,43.279999,34.459998999999996,72.970001,90.187744,13.72,15.17,226.0,74.400002,31.190001000000002,164.880005,112.83000200000001,168.43696599999998,81.751274
2017-12-21,100.129997,1174.76001,84.980003,705.909973,67.08000200000001,52.0,60.529999,66.339996,332.940002,40.649002,292.399994,91.391083,50.93,109.57,23.360001,22.16,49.119999,108.470001,94.45371999999999,120.07,12.326447,47.670582,34.529999,35.110001000000004,42.16,94.529999,34.217369,59.169998,32.441338,92.27864100000001,20.190001000000002,188.080002,79.370003,51.413525,26.700001,20.23,47.5,66.0,64.029999,53.470001,60.59,47.389998999999996,63.714012,40.900002,90.382698,25.57,133.949997,15.71,171.850006,33.73,277.859985,54.139998999999996,188.619995,64.769997,30.75,16.65,16.34,74.08000200000001,241.5,1778.790039,33.77,135.610001,121.75,100.431564,80.139999,57.269375,55.423302,85.709999,65.220001,102.459999,75.98389399999999,44.27,34.740002000000004,74.389999,92.547478,13.95,15.51,228.57000699999998,74.230003,31.76,169.610001,113.370003,167.998306,82.119568
2017-12-22,100.550003,1168.359985,84.790001,710.090027,67.110001,51.709998999999996,60.169998,66.349998,338.200012,40.619118,295.230011,92.657639,50.830002,108.66999799999999,23.73,22.469998999999998,48.529999,109.459999,95.785179,120.18,12.277648,46.955223,34.720001,35.240002000000004,42.02,95.110001,34.207432,59.18,32.72023,92.984352,20.41,188.130005,79.349998,51.443295,26.23,20.389999,47.540001000000004,65.230003,63.400002,53.66,61.360001000000004,47.060001,63.963871,40.82,90.840942,25.67,133.970001,15.84,171.419998,33.34,276.459991,54.029999,189.940002,63.290001000000004,30.67,16.799999,16.42,73.610001,242.5,1775.2600100000002,33.369999,135.600006,121.059998,101.307312,80.440002,56.990883,56.26831800000001,85.349998,65.389999,102.839996,75.934097,44.380001,34.57,74.480003,91.97994200000001,13.8,15.5,226.270004,73.870003,32.23,171.679993,113.58000200000001,167.240616,82.020035
2017-12-26,101.959999,1176.76001,84.879997,714.47998,68.019997,51.490002000000004,60.189999,65.690002,340.399994,40.658962,295.519989,92.228806,50.970001,108.120003,23.57,22.299999,48.34,108.5,96.530396,119.440002,12.297168,48.236903999999996,34.169998,34.599998,41.799999,95.389999,34.704056,59.27,32.471218,92.238892,20.91,190.360001,79.370003,51.373829,26.059998999999998,20.23,48.470001,65.550003,63.98,56.869999,62.950001,47.540001000000004,63.853931,40.779999,91.53825400000001,26.85,133.300003,15.72,171.28999299999998,33.349998,276.450012,53.73,187.759995,63.650002,30.92,16.6,16.309998999999998,73.349998,244.649994,1755.319946,33.560001,136.520004,120.18,102.889618,80.959999,56.831745,57.401642,85.68,65.82,105.199997,77.12912800000001,44.950001,34.529999,75.300003,91.253113,14.07,15.66,226.67999300000002,74.610001,31.870001000000002,170.16000400000001,113.910004,168.107971,81.81100500000001
