Date,VBR,VEA,VOE,VTI,VTV,VWO
2017-11-20,129.100006,43.950001,107.279999,132.979996,101.75,45.060001
2017-11-17,128.580002,43.869999,107.029999,132.639999,101.519997,44.869999
2017-11-16,128.100006,44.040001000000004,106.690002,132.889999,101.730003,44.619999
2017-11-15,126.629997,43.619999,106.0,131.690002,101.0,43.84
2017-11-14,127.25,43.830002,106.529999,132.369995,101.41999799999999,44.200001
2017-11-13,127.540001,43.869999,106.489998,132.610001,101.660004,44.5
2017-11-10,127.449997,44.040001000000004,106.160004,132.53999299999998,101.559998,44.59
2017-11-09,127.589996,44.150002,106.300003,132.520004,101.66999799999999,44.759997999999996
2017-11-08,128.03999299999998,44.450001,106.5,133.059998,102.019997,44.93
2017-11-07,127.93,44.259997999999996,106.400002,132.83999599999999,102.010002,44.77
2017-11-06,129.080002,44.41,106.709999,133.070007,102.120003,45.049999
2017-11-03,128.740005,44.330002,106.160004,132.820007,102.209999,44.619999
2017-11-02,129.050003,44.369999,106.120003,132.470001,102.18,44.880001
2017-11-01,128.58999599999999,44.279999,106.57,132.440002,101.949997,44.740002000000004
2017-10-31,128.889999,44.18,106.5,132.330002,101.650002,44.630001
2017-10-30,128.240005,43.98,106.150002,132.059998,101.699997,44.380001
2017-10-27,129.46000700000002,43.880001,106.709999,132.639999,102.33000200000001,44.740002000000004
2017-10-26,128.919998,43.709998999999996,106.91999799999999,131.570007,102.08000200000001,44.200001
2017-10-25,128.470001,43.759997999999996,106.639999,131.399994,101.83000200000001,44.43
2017-10-24,129.169998,43.939999,107.610001,132.08999599999999,102.410004,44.529999
2017-10-23,128.78999299999998,43.84,107.410004,131.860001,102.239998,44.41
2017-10-20,129.610001,43.950001,107.75,132.419998,102.480003,44.810001
2017-10-19,129.080002,44.009997999999996,107.0,131.71000700000002,101.760002,44.630001
2017-10-18,129.0,44.09,106.91999799999999,131.679993,101.510002,44.959998999999996
2017-10-17,128.619995,44.009997999999996,106.790001,131.509995,101.25,44.919998
2017-10-16,128.899994,44.110001000000004,106.910004,131.449997,101.120003,45.139998999999996
2017-10-13,128.889999,44.150002,106.790001,131.360001,100.949997,45.18
2017-10-12,128.880005,43.93,106.410004,131.259995,100.93,44.779999
2017-10-11,128.990005,43.93,106.379997,131.419998,101.160004,44.779999
2017-10-10,129.08999599999999,43.779999,106.389999,131.240005,101.18,44.650002
2017-10-09,128.71000700000002,43.380001,106.099998,130.929993,100.839996,44.220001
2017-10-06,129.139999,43.360001000000004,106.58000200000001,131.190002,101.110001,44.369999
2017-10-05,129.419998,43.41,106.91999799999999,131.279999,101.269997,44.540001000000004
2017-10-04,129.020004,43.450001,106.58000200000001,130.58999599999999,100.800003,44.259997999999996
2017-10-03,129.350006,43.529999,106.230003,130.46000700000002,100.68,44.209998999999996
2017-10-02,129.110001,43.360001000000004,106.139999,130.199997,100.449997,43.610001000000004
2017-09-29,127.790001,43.41,105.639999,129.520004,99.82,43.57
2017-09-28,127.730003,43.16,105.339996,129.100006,99.639999,43.130001
2017-09-27,127.360001,43.02,105.260002,128.889999,99.529999,43.110001000000004
2017-09-26,126.083,42.959998999999996,104.91999799999999,128.190002,99.25,43.349998
2017-09-25,125.665047,43.119999,104.730003,128.16000400000001,99.32,43.360001000000004
2017-09-22,125.127678,43.310001,104.459999,128.369995,99.18,44.18
2017-09-21,124.610207,43.209998999999996,104.269997,128.267014,99.104996,44.450001
2017-09-20,124.878891,43.279999,104.540001,128.625458,99.26391600000001,44.41
2017-09-19,124.49079099999999,43.390999,104.537003,128.41636699999998,99.085136,44.538002
2017-09-18,124.610207,43.181866,104.507141,128.35661299999998,98.906357,44.498463
2017-09-15,123.983276,43.112152,104.30806,128.047958,98.46933,44.538002
2017-09-14,123.416046,43.092236,103.96961999999999,127.808975,98.23095699999999,44.241474
2017-09-13,123.585228,42.972729,103.96961999999999,127.848801,98.121696,44.152515
2017-09-12,123.45585600000001,43.171902,104.07911700000001,127.78906299999998,97.932983,44.449042999999996
2017-09-11,122.48062900000001,43.082271999999996,103.511742,127.30116299999999,97.476089,44.528114
2017-09-08,121.087448,42.763588,102.24758100000001,125.947006,96.304077,44.014137
2017-09-07,120.709305,42.773548,101.988777,126.036621,96.28421800000001,44.300777000000004
2017-09-06,121.236717,42.424984,102.46656800000001,126.096359,96.592117,44.083324
2017-09-05,120.888428,42.116261,102.267487,125.74786399999999,96.26434300000001,43.767033000000005
2017-09-01,122.48062900000001,42.424984,103.491837,126.723656,97.21785,44.103096
2017-08-31,121.754181,42.345314,102.834862,126.43490600000001,96.92981,43.786804
2017-08-30,120.78890200000001,41.986794,102.277443,125.578598,96.55238299999999,43.638542
2017-08-29,120.16198,42.046547,102.01863900000001,124.921425,96.34380300000001,43.589119000000004
2017-08-28,120.251534,42.225811,102.416801,124.87164299999999,96.33386999999999,43.678078
2017-08-25,120.251534,42.225811,102.556152,124.821854,96.502724,43.687962
2017-08-24,119.584801,41.976836999999996,102.078369,124.52313999999998,96.194817,43.32225
2017-08-23,119.415627,42.02663,102.118172,124.72228999999999,96.29414399999999,43.223408
2017-08-22,119.60470600000001,42.00671,102.167946,125.100655,96.54245,43.015839
2017-08-21,118.480202,41.797577000000004,101.341766,123.85601799999999,95.708138,42.640240000000006
2017-08-18,118.49015800000001,41.787613,101.321861,123.67678799999999,95.628677,42.531513000000004
2017-08-17,118.66928100000001,41.66811,101.590614,123.88588700000001,95.837257,42.225109
2017-08-16,120.739151,42.146137,103.29274699999999,125.88726000000001,97.24765,42.768734
2017-08-15,120.550079,41.887207000000004,102.97421999999999,125.658249,97.21785,42.254761
2017-08-14,121.276527,41.927040000000005,103.272842,125.77773300000001,97.227783,42.284409000000004
2017-08-11,119.88333899999999,41.638233,102.297348,124.503227,96.383537,41.918696999999995
2017-08-10,119.903244,41.64819,102.337166,124.274216,96.49279,41.790203000000005
2017-08-09,121.734283,42.255684,103.700867,126.126228,97.615143,42.778618
2017-08-08,122.69956200000001,42.365234,104.059212,126.26563300000001,97.654877,43.015839
2017-08-07,123.12746399999999,42.584328,104.34787800000001,126.61413600000002,97.833656,43.075146000000004
2017-08-04,123.12746399999999,42.554451,104.10897800000001,126.365204,97.813797,42.739086
2017-08-03,122.48062900000001,42.494698,104.089073,126.096359,97.575417,42.630359999999996
2017-08-02,122.998093,42.554451,104.30806,126.385117,97.615143,42.788506
2017-08-01,123.85391200000001,42.574371,104.507141,126.504608,97.625076,42.689659000000006
2017-07-31,123.555374,42.335353999999995,104.12889100000001,126.24571999999999,97.386703,42.511745
2017-07-28,123.70463600000001,42.245723999999996,104.039299,126.31541399999999,97.207924,42.442558
2017-07-27,124.132545,42.205890999999994,104.268242,126.52451299999998,97.29731,42.284409000000004
2017-07-26,124.391281,42.365234,104.427513,126.743568,97.138397,42.501862
2017-07-25,125.36650800000001,42.096344,104.805763,126.833183,97.33704399999999,42.195454
2017-07-24,124.212158,42.066466999999996,104.298103,126.41498600000001,96.880157,42.264641
2017-07-21,124.212158,42.146137,104.367783,126.405029,97.029137,42.106495
2017-07-20,124.739571,42.255684,104.377739,126.574303,97.207924,42.195454
2017-07-19,124.659966,42.116261,104.467323,126.494644,97.12846400000001,42.284409000000004
2017-07-18,123.396149,41.91708,103.830269,125.767776,96.711304,41.879162
2017-07-17,123.804153,41.82745,104.16870899999999,125.688126,96.860283,41.809971000000004
2017-07-14,123.48571000000001,41.897163,103.780502,125.688126,96.870216,42.027423999999996
2017-07-13,123.137413,41.598396,103.362427,125.130524,96.54245,41.602406
2017-07-12,122.799072,41.478889,103.14344799999999,124.931389,96.36367,41.483795
2017-07-11,121.923355,41.110409000000004,102.546196,124.045204,95.807457,40.71283
2017-07-10,121.80394,40.980946,102.665649,124.075073,96.02597,40.426193
2017-07-07,122.261703,40.911232,102.536247,123.98545800000001,96.085564,40.139549
2017-07-06,121.296425,40.841518,101.78969599999999,123.129158,95.628677,40.030823
2017-07-05,122.80902900000001,41.090488,102.77514599999999,124.353874,96.522591,40.475613
2017-07-03,123.52551299999999,41.070576,103.00408900000001,124.214478,96.532524,40.5448
2017-06-30,122.311462,41.150246,102.396896,123.915756,95.90677600000001,40.357002
2017-06-29,122.251747,41.070576,102.22766899999999,123.74649,95.678337,40.040707
2017-06-28,122.83888200000001,41.488846,102.844818,124.742195,96.20475,40.49538
2017-06-27,121.35614,41.120369000000004,101.998734,123.577225,95.459824,40.25816
2017-06-26,122.01066599999999,41.130325,102.635788,124.60279799999999,95.976303,40.683178000000005
2017-06-23,121.38588700000001,41.050655,102.22766899999999,124.51319099999999,95.708138,40.25816
2017-06-22,120.731346,40.961025,101.92905400000001,124.20451399999999,95.691254,40.109901
2017-06-21,120.50326499999998,40.881351,102.098274,124.15473200000001,95.770248,39.961636
2017-06-20,121.405716,40.919201,102.463585,124.29911000000001,96.155396,39.81041
2017-06-19,122.85361499999999,41.293251,103.365341,125.15148899999998,96.777527,40.291709999999995
2017-06-16,122.189171,41.145599,102.840141,124.140526,96.264023,40.026505
2017-06-15,122.48668700000002,40.781391,102.671684,124.219826,96.125755,39.898808
2017-06-14,123.01229099999999,41.224346000000004,103.03833,124.49733700000002,96.264023,40.252419
