Date,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2014-08-06,46.00008,87.207596,12.968904,48.046818,36.427399,40.283584999999995,,35.933533000000004,57.736045999999995,62.560660999999996
2014-08-07,45.597389,86.66031600000001,12.910645,48.093571000000004,36.276325,39.952412,,36.345024,56.992912,62.236866000000006
2014-08-08,46.075001,88.110588,13.038818,48.776077,36.512371,40.357174,,37.069592,57.669361,63.198738
2014-08-11,46.028175,88.11972,13.050469,48.97242,36.691765000000004,40.642348999999996,,36.935421000000005,57.640774,63.484463
2014-08-12,46.178005,87.472115,13.079602000000001,48.860222,36.672886,40.614758,,36.908577,57.593143000000005,63.322540000000004
2014-08-13,46.430859000000005,87.754875,13.137858999999999,49.337047999999996,37.031684999999996,40.734348,,37.078540999999994,58.28864300000001,63.551128000000006
2014-08-14,46.430859000000005,87.253212,13.219423999999998,49.552082,37.097782,40.899929,,37.400581,58.974613,64.04634899999999
2014-08-15,46.571331,87.900818,13.155339999999999,49.449249,37.097782,40.955132,,37.543709,59.031780000000005,63.922534999999996
2014-08-18,47.030209,88.137955,13.300993,50.197193,37.447136,41.194317,,37.445297,59.489081999999996,64.51299300000001
2014-08-19,47.170681,88.81291999999999,13.324294,50.318737,37.683182,41.304699,,37.919411,59.879715000000004,64.998703
2014-08-20,47.236237,89.004478,13.359253,50.851658,37.683182,41.2771,,37.99992,59.87019,65.303459
2014-08-21,47.170681,89.077446,13.516558999999999,50.804909,37.862579,41.350697,,38.089378,59.955940000000005,65.246323
2014-08-22,46.983379,88.484573,13.469949,50.627274,37.872025,41.249508,,37.973087,60.013103,65.370132
2014-08-25,47.161316,89.268982,13.586470000000002,50.823608,37.90979,41.479488,,38.232487,60.470409,65.5606
2014-08-26,47.208134,89.725044,13.615601999999999,50.655322999999996,37.928669,41.451896999999995,,37.776278999999995,60.689541000000006,65.570122
2014-08-27,47.208134,89.542618,13.586470000000002,50.627274,37.919235,41.470284,,38.187778,60.641906999999996,65.63678
2014-08-28,47.245602000000005,89.56085999999999,13.545688,50.552475,37.862579,41.488693,,38.46508,60.622849,65.551079
